Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
5053	8326	0.227758	0.3333860039710998	3273	0.105628	7	12461431	18934838	results/01_atlas/I0048	FAM001_ID001
13463	16275	0.4844380021095276	0.5644189715385437	2812	0.0799809694290161	7	28967808	34651747	results/01_atlas/I0048	FAM001_ID001
29394	31486	0.9197930097579956	0.9894099831581116	2092	0.0696169734001159	7	76908199	81772669	results/01_atlas/I0048	FAM001_ID001
35880	38937	1.0919699668884275	1.1729830503463743	3057	0.0810130834579467	7	94565122	103866217	results/01_atlas/I0048	FAM001_ID001
55928	58466	1.6594129800796509	1.819471001625061	2538	0.1600580215454101	7	150960869	156020486	results/01_atlas/I0048	FAM001_ID001
153	2399	0.018304	0.1344449967145919	2246	0.116141	7	1158776	7438529	results/01_atlas/I0013	FAM001_ID001
2864	4582	0.1506949961185455	0.2167340070009231	1718	0.0660390108823776	7	8166023	11621157	results/01_atlas/I0013	FAM001_ID001
4869	7561	0.2252099961042404	0.3125700056552887	2692	0.0873600095510482	7	12122967	17275340	results/01_atlas/I0013	FAM001_ID001
28330	31375	0.8589670062065125	0.9861239790916444	3045	0.1271569728851318	7	70828554	81486651	results/01_atlas/I0013	FAM001_ID001
57292	58371	1.74800705909729	1.815878987312317	1079	0.0678719282150268	7	154090156	155899308	results/01_atlas/I0013	FAM001_ID001
2965	5309	0.100959	0.1780219972133636	2344	0.077062994	8	4073225	6722082	results/01_atlas/I0048	results/01_atlas/I0013
11531	14646	0.4082669913768768	0.5005040168762207	3115	0.0922370254993438	8	19122184	24619086	results/01_atlas/I0048	results/01_atlas/I0013
15107	20986	0.5174049735069275	0.6763240098953247	5879	0.1589190363883972	8	25567088	40704851	results/01_atlas/I0048	results/01_atlas/I0013
22389	26534	0.698406994342804	0.7873309850692749	4145	0.0889239907264709	8	49888184	60956235	results/01_atlas/I0048	results/01_atlas/I0013
37331	39815	1.02360200881958	1.088428974151611	2484	0.0648269653320312	8	91361833	98154441	results/01_atlas/I0048	results/01_atlas/I0013
40965	43250	1.1238930225372314	1.184973955154419	2285	0.0610809326171875	8	101675872	106654909	results/01_atlas/I0048	results/01_atlas/I0013
52035	54896	1.4047839641571045	1.4815939664840698	2861	0.0768100023269653	8	128595878	134040731	results/01_atlas/I0048	results/01_atlas/I0013
666	2310	0.018149	0.0804790034890174	1644	0.062330004	8	1319724	3508977	results/01_atlas/I0048	FAM001_ID001
11436	13440	0.4026220142841339	0.4686889946460724	2004	0.0660669803619384	8	18976000	22433508	results/01_atlas/I0048	FAM001_ID001
16360	21023	0.5451260209083557	0.6765310168266296	4663	0.1314049959182739	8	27734464	40781558	results/01_atlas/I0048	FAM001_ID001
37104	41762	1.0210490226745603	1.1525310277938845	4658	0.1314820051193237	8	90772766	103070301	results/01_atlas/I0048	FAM001_ID001
50424	52582	1.3442989587783811	1.42493999004364	2158	0.0806410312652587	8	125456928	129473012	results/01_atlas/I0048	FAM001_ID001
58105	61091	1.562600016593933	1.6800220012664795	2986	0.1174219846725463	8	139292884	146296414	results/01_atlas/I0048	FAM001_ID001
13074	23175	0.45145	0.7056980133056641	10101	0.25424802	8	21529428	52497712	results/01_atlas/I0013	FAM001_ID001
23759	31427	0.7211560010910034	0.9137439727783204	7668	0.1925879716873169	8	53917467	73644796	results/01_atlas/I0013	FAM001_ID001
33874	37177	0.960096001625061	1.02218496799469	3303	0.0620889663696289	8	80496292	90947494	results/01_atlas/I0013	FAM001_ID001
38763	43230	1.0577479600906372	1.1839560270309448	4467	0.1262080669403076	8	96086311	106594719	results/01_atlas/I0013	FAM001_ID001
47585	51906	1.2615519762039185	1.3970799446105957	4321	0.1355279684066772	8	119313817	128390660	results/01_atlas/I0013	FAM001_ID001
58725	61062	1.58639395236969	1.679386019706726	2337	0.0929920673370361	8	140253232	146173636	results/01_atlas/I0013	FAM001_ID001
1970	3713	0.076109	0.141195997595787	1743	0.065087	9	2554915	5360293	results/01_atlas/I0048	results/01_atlas/I0013
11539	14050	0.3877890110015869	0.4685980081558227	2511	0.0808089971542358	9	18940950	24720396	results/01_atlas/I0048	results/01_atlas/I0013
21339	23485	0.6883789896965027	0.7590069770812988	2146	0.0706279873847961	9	73782311	79134925	results/01_atlas/I0048	results/01_atlas/I0013
23723	26558	0.7690169811248779	0.857895016670227	2835	0.0888780355453491	9	79517030	86146206	results/01_atlas/I0048	results/01_atlas/I0013
26758	29379	0.8655359745025635	0.945402979850769	2621	0.0798670053482055	9	86774339	92342790	results/01_atlas/I0048	results/01_atlas/I0013
41863	44658	1.2719440460205078	1.3491450548171997	2795	0.0772010087966919	9	119665210	125551732	results/01_atlas/I0048	results/01_atlas/I0013
45851	48093	1.3824470043182373	1.4816449880599976	2242	0.0991979837417602	9	129104674	134961834	results/01_atlas/I0048	results/01_atlas/I0013
7788	9716	0.263739	0.3373390138149261	1928	0.073600024	9	12502531	16054406	results/01_atlas/I0048	FAM001_ID001
13254	15110	0.4383600056171417	0.5062310099601746	1856	0.0678710043430328	9	22603263	27160480	results/01_atlas/I0048	FAM001_ID001
19226	23007	0.6113200187683105	0.7368500232696533	3781	0.1255300045013427	9	36961472	78311574	results/01_atlas/I0048	FAM001_ID001
25504	28065	0.8220440149307251	0.9058030247688292	2561	0.0837590098381042	9	83506770	89688153	results/01_atlas/I0048	FAM001_ID001
36212	38785	1.1010370254516602	1.180367946624756	2573	0.0793309211730957	9	108837110	113644930	results/01_atlas/I0048	FAM001_ID001
42841	44900	1.2903480529785156	1.356276035308838	2059	0.0659279823303222	9	121332922	126442740	results/01_atlas/I0048	FAM001_ID001
46976	48730	1.4224170446395874	1.5076910257339478	1754	0.0852739810943603	9	132304132	136156015	results/01_atlas/I0048	FAM001_ID001
48936	50281	1.5220320224761963	1.6330009698867798	1345	0.1109689474105835	9	136624542	139443002	results/01_atlas/I0048	FAM001_ID001
20	7354	0.001841	0.254366010427475	7334	0.252525	9	224227	11552356	results/01_atlas/I0013	FAM001_ID001
9866	12937	0.3477509915828705	0.4260259866714477	3071	0.0782749950885772	9	16269616	21835241	results/01_atlas/I0013	FAM001_ID001
14171	17342	0.4772849977016449	0.5647580027580261	3171	0.0874730050563812	9	25049865	32128828	results/01_atlas/I0013	FAM001_ID001
22068	24736	0.7070339918136597	0.8038060069084167	2668	0.096772015094757	9	75788020	81877286	results/01_atlas/I0013	FAM001_ID001
33237	36987	1.0336099863052368	1.130010962486267	3750	0.0964009761810302	9	101595443	110477887	results/01_atlas/I0013	FAM001_ID001
